code,lockup_days,listing,entry_date,entry_open,exit7_date,exit7_close,tpx_entry_open,tpx_exit7_close,net_1,net_3,net_5,net_7
505A,180,2026-02-27,2026-05-28,1142.0,,,3905.04,,-1.1032,,,
480A,180,2025-12-25,2026-03-25,1221.0,2026-04-02,1204.0,3612.98,3611.67,2.0486,1.5213,-1.6164,1.206
479A,90|360,2025-12-24,2026-03-24,1355.0,2026-04-01,1329.0,3544.42,3670.9,-2.3766,5.2825,4.2194,5.3372
478A,90|180,2025-12-24,2026-03-24,835.0,2026-04-01,734.0,3544.42,3670.9,10.5797,19.1526,15.1207,15.5142
483A,180,2025-12-23,2026-03-23,2145.0,2026-03-31,2072.0,3551.3,3497.86,-0.3913,3.0767,2.2942,1.7485
477A,180,2025-12-22,2026-03-23,620.0,2026-03-31,510.0,3551.3,3497.86,4.1527,4.5926,14.556,16.0871
485A,180,2025-12-19,2026-03-19,5510.0,2026-03-30,4725.0,3657.25,3542.34,-7.9919,8.6156,27.8578,10.9548
476A,90|180,2025-12-19,2026-03-19,1691.0,2026-03-30,1618.0,3657.25,3542.34,0.5523,1.0849,4.4224,1.025
475A,90|180,2025-12-19,2026-03-19,1105.0,2026-03-30,1119.0,3657.25,3542.34,-0.5534,-2.3656,-0.9071,-4.5589
472A,90|180,2025-12-18,2026-03-18,523.0,2026-03-27,517.0,3653.17,3649.69,1.6085,1.0222,-0.9745,0.902
8303,180,2025-12-17,2026-03-17,1698.5,2026-03-26,1692.0,3647.32,3642.8,0.6489,-0.3948,-2.3765,0.1088
5537,90|180,2025-12-15,2026-03-16,3270.0,2026-03-25,3200.0,3618.19,3650.99,-2.6498,-5.3588,3.0894,2.8972
469A,180,2025-12-12,2026-03-12,2418.0,2026-03-23,2306.0,3660.74,3486.44,0.5037,0.7171,2.432,-0.2794
462A,180,2025-12-05,2026-03-05,910.0,2026-03-13,944.0,3695.75,3629.03,0.6966,-6.6912,-9.0771,-5.6916
460A,180,2025-12-01,2026-03-02,984.0,2026-03-10,941.0,3882.67,3664.28,1.1703,3.8027,-1.3699,-1.4048
