edge,code,date,dir,net_905,net_915,net_930,net_1000,net_1130,net_close
④鏡(LONG),1333,2026-05-11,L,-1.761,-2.162,-1.641,-1.801,-3.243,-4.484
④鏡(LONG),141A0,2025-08-13,L,-0.511,-1.915,-4.0,-2.34,-2.128,-3.787
④鏡(LONG),1605,2026-02-12,L,0.821,0.164,-1.204,-1.778,-2.627,-4.979
④鏡(LONG),1786,2022-05-13,L,,,,,,-2.542
④鏡(LONG),1799,2026-05-13,L,-1.01,-1.01,-4.185,-4.185,-5.195,-4.762
④鏡(LONG),1869,2023-05-11,L,,,,,,
④鏡(LONG),1888,2024-05-14,L,,,,,,0.314
④鏡(LONG),1911,2026-02-13,L,-1.482,-0.872,-2.411,-3.138,-4.474,-4.038
④鏡(LONG),1925,2026-05-13,L,-2.237,-2.753,-2.474,-3.463,-3.033,-2.388
④鏡(LONG),1992,2025-05-12,L,0.0,0.0,0.0,,,0.0
④鏡(LONG),1992,2026-05-11,L,0.0,0.0,0.0,0.0,,0.0
④鏡(LONG),1999,2025-08-18,L,,,,,,
④鏡(LONG),2004,2025-05-12,L,-0.034,0.0,0.0,-0.676,-1.622,-1.926
④鏡(LONG),2004,2026-05-14,L,0.801,1.923,2.404,2.564,2.244,1.282
④鏡(LONG),2172,2024-08-09,L,,,,,,
④鏡(LONG),2208,2026-04-28,L,-1.212,-0.842,-1.01,-1.38,-2.121,-3.098
④鏡(LONG),2209,2023-05-11,L,,,,,,0.043
④鏡(LONG),2292,2024-05-27,L,-0.273,-0.375,-0.409,-0.921,-0.989,-1.637
④鏡(LONG),2374,2025-05-15,L,-1.997,-2.264,-2.796,-2.796,-3.595,-3.063
④鏡(LONG),2379,2025-04-14,L,2.683,1.317,1.902,2.829,2.634,0.0
④鏡(LONG),2389,2024-02-13,L,,,,,,-1.463
④鏡(LONG),2425,2026-05-14,L,-0.268,-1.342,-1.879,-1.745,-1.611,-1.611
④鏡(LONG),2445,2025-05-13,L,-1.366,-1.093,-2.459,-3.005,-3.552,-3.552
④鏡(LONG),2445,2025-06-23,L,0.0,-0.599,-0.599,-0.898,-1.198,-1.497
④鏡(LONG),2475,2024-05-14,L,,,,,,-8.409
④鏡(LONG),2475,2025-05-14,L,0.961,0.747,-0.053,1.121,0.267,-2.456
④鏡(LONG),2483,2025-05-13,L,2.45,0.501,0.835,1.169,0.947,0.612
④鏡(LONG),2491,2025-01-31,L,0.0,0.0,0.0,0.0,0.0,0.0
④鏡(LONG),2491,2025-02-19,L,0.731,0.974,2.192,1.705,2.071,2.071
④鏡(LONG),2497,2023-05-10,L,,,,,,-1.725
④鏡(LONG),2678,2025-07-04,L,-0.139,-1.389,-1.875,-2.986,-2.708,-3.056
④鏡(LONG),2705,2025-05-09,L,-0.565,-0.565,-0.188,-0.377,-0.753,-0.565
④鏡(LONG),2708,2026-05-15,L,2.054,0.054,-1.622,-2.541,-1.784,-1.838
④鏡(LONG),2733,2026-05-14,L,-1.63,-1.963,-1.852,-2.556,-2.889,-1.111
④鏡(LONG),2760,2025-04-28,L,1.513,0.84,0.538,0.504,1.513,-0.672
④鏡(LONG),2814,2022-05-13,L,,,,,,-0.139
④鏡(LONG),2814,2025-05-16,L,-0.785,0.041,0.0,-0.455,-1.199,-2.396
④鏡(LONG),2819,2025-05-14,L,-0.154,-0.731,-1.116,-1.116,-2.116,-3.309
④鏡(LONG),2930,2022-04-14,L,,,,,,3.646
④鏡(LONG),2993,2024-05-13,L,,,,,,0.368
④鏡(LONG),3055,2023-05-15,L,,,,,,
④鏡(LONG),3154,2023-08-14,L,,,,,,1.486
④鏡(LONG),3159,2026-03-13,L,-1.159,-0.58,-2.029,-1.159,-1.449,-1.739
④鏡(LONG),3191,2024-08-02,L,-0.098,0.488,2.393,2.979,3.76,-0.488
④鏡(LONG),3204,2026-02-13,L,-0.771,-0.963,-1.541,-1.734,-1.156,-1.541
④鏡(LONG),3236,2025-07-14,L,-0.513,-1.026,1.026,0.0,-2.051,-2.051
④鏡(LONG),3238,2024-05-10,L,,,,,,-0.568
④鏡(LONG),3280,2026-04-10,L,1.8,0.8,-0.5,-0.4,-0.8,-2.2
④鏡(LONG),3286,2025-08-08,L,0.0,0.0,0.0,0.0,-0.775,-1.661
④鏡(LONG),3302,2023-02-14,L,,,,,,0.576
④鏡(LONG),3440,2024-10-15,L,0.634,0.634,1.48,1.057,-0.106,-1.374
④鏡(LONG),3440,2025-10-15,L,2.105,2.105,3.053,3.263,3.368,3.789
④鏡(LONG),3441,2022-09-14,L,,,,,,-7.281
④鏡(LONG),3443,2026-05-12,L,-5.22,-7.593,-10.441,-10.78,-11.186,-13.627
④鏡(LONG),3537,2025-05-12,L,-0.121,-0.121,-0.121,-0.606,-0.606,-0.606
④鏡(LONG),3537,2026-05-14,L,-1.289,-0.552,-0.552,-0.614,-1.228,-0.552
④鏡(LONG),3553,2026-05-08,L,0.0,-0.668,-0.334,0.0,-0.78,-2.673
④鏡(LONG),3633,2026-02-10,L,-0.936,0.047,-0.234,0.562,-2.388,-1.966
