code,sdown_date,entry_date,gap_pct,open_time,open,mkt,scale_band,mrgn,openable_by_10,net_0930,net_1000,net_1030,net_close
4107,2024-06-18,2024-06-19,-17.75,09:27,25950.0,スタンダード,小型,信用,1,1.264,8.239,3.384,-5.595
4107,2024-06-19,2024-06-20,-14.54,09:21,20980.0,スタンダード,小型,信用,1,0.277,-3.537,-3.918,1.516
4592,2024-06-20,2024-06-21,-10.61,09:17,758.0,グロース,小型,信用,1,0.064,1.779,3.098,-8.116
7083,2024-06-27,2024-06-28,-16.95,15:00,3430.0,グロース,小型,信用,0,,,,-0.2
4169,2024-06-28,2024-07-01,-18.96,15:00,342.0,グロース,小型,貸借,0,,,,-0.2
4169,2024-07-01,2024-07-02,-37.43,09:45,214.0,グロース,小型,貸借,1,,4.94,5.875,-5.34
2934,2024-07-19,2024-07-22,-15.64,09:21,1850.0,グロース,小型,信用,1,0.989,-7.119,-5.227,-8.2
5246,2024-07-19,2024-07-22,-19.0,09:27,1236.0,グロース,小型,信用,1,4.978,0.852,7.81,12.017
7776,2024-07-19,2024-07-22,-19.06,15:00,637.0,グロース,小型,信用,0,,,,-0.2
7776,2024-07-22,2024-07-23,-15.7,15:00,537.0,グロース,小型,信用,0,,,,-0.2
3350,2024-07-25,2024-07-26,-15.45,09:12,186.0,スタンダード,小型,信用,1,13.241,12.703,28.295,24.531
3350,2024-07-30,2024-07-31,-10.6,09:12,1350.0,スタンダード,小型,信用,1,-13.015,-12.793,-14.126,-12.867
6537,2024-07-31,2024-08-01,-17.45,09:37,473.0,グロース,小型,貸借,1,,0.011,-0.2,-0.2
3189,2024-08-01,2024-08-02,-11.08,09:13,321.0,スタンダード,小型,信用,1,-5.184,-3.627,-7.988,-5.184
3841,2024-08-01,2024-08-02,-15.07,09:21,2255.0,スタンダード,小型,信用,1,-3.26,-3.127,5.521,7.561
3841,2024-08-02,2024-08-05,-10.29,09:12,2180.0,スタンダード,小型,信用,1,-8.136,-3.411,-8.686,-11.668
4080,2024-08-02,2024-08-05,-10.06,09:15,751.0,,,,1,-0.067,0.865,-0.333,-8.988
6521,2024-08-05,2024-08-06,-8.38,09:11,1858.0,グロース,小型,信用,1,-9.888,-9.457,-14.086,-14.032
2743,2024-08-14,2024-08-15,-30.3,15:00,69.0,,,,0,,,,-0.2
7063,2024-08-15,2024-08-16,-17.71,09:27,697.0,グロース,小型,信用,1,-0.2,-0.2,-0.2,-0.2
3667,2024-08-16,2024-08-19,-9.23,09:06,236.0,スタンダード,小型,貸借,1,2.342,1.919,2.766,-2.742
7063,2024-08-16,2024-08-19,-12.91,09:24,607.0,グロース,小型,信用,1,2.601,7.378,8.531,-1.847
3224,2024-08-29,2024-08-30,-18.12,09:21,1062.0,グロース,小型,信用,1,3.943,4.696,4.696,3.849
9229,2024-09-03,2024-09-04,-18.63,09:25,1966.0,プライム,小型,貸借,1,4.022,3.869,2.038,-0.81
6899,2024-09-30,2024-10-01,-10.63,09:12,2000.0,スタンダード,小型,信用,1,-0.35,-1.3,-1.85,-1.4
3738,2024-10-01,2024-10-02,-8.85,09:15,2666.0,,,,1,-0.2,-0.162,-0.2,-0.125
1322,2024-10-07,2024-10-08,-13.17,09:15,10680.0,その他,小型,貸借,1,2.375,1.298,0.128,-12.288
